"Innleggsdato","Oppdatert","Tittel","Kommune","Epost kontaktperson","Type fordel","Published status","",""
"04/12/2017 - 14:20","20/10/2025 - 08:25","Aurora kino","Alta","","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","11/06/2025 - 14:50","Alta Bowlingsenter","Alta","altabowling@altabowling.no","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","02/07/2025 - 15:46","Sarves Alta alpinsenter","Alta","","Skitrekk","✔","rediger","slett"
"04/12/2017 - 14:20","11/06/2025 - 14:54","Alta IF Fotball","Alta","fotball@altaif.no","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","28/10/2025 - 09:55","Nordlysbadet","Alta","","Bading","✖","rediger","slett"
"04/12/2017 - 14:20","23/06/2025 - 08:26","Petter Dass-museet","Alstahaug","","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","18/01/2022 - 11:58","Solvoll 4H Gård og Hestesenter","Alstahaug","solvoll4h@gmail.com","Besøksgård","✔","rediger","slett"
"04/12/2017 - 14:20","10/06/2025 - 10:56","Polar Park","Bardu","post@polarpark.no","Dyrepark","✔","rediger","slett"
"04/12/2017 - 14:20","26/10/2023 - 11:44","Vestvatn alpinanlegg","Bodø","post@vestvatn.no","Skitrekk","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 15:03","Bodø Glimt","Bodø","bg@glimt.no","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 15:24","Nordlandsmuseet","Bodø","post@nordlandsmuseet.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","15/12/2025 - 14:17","Norsk Luftfartsmuseum","Bodø","post@luftfartsmuseum.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","06/11/2023 - 08:14","Nordlandsbadet","Bodø","trine@bodospektrum.no","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 15:03","Bodø håndballklubb","Bodø","taa@bhk.no","Håndball","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 15:02","Bodø Actionhall","Bodø","post@bodoaction.no","Lasertag","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 15:06","Bratten Aktivitetspark","Bodø","postbratten@bodo.kommune.no","Aktivitetspark","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 15:06","Fauske kino","Fauske","bjorn.skoglund@fauske.kommune.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 08:00","Holtanlia alpinsenter","Fauske","","Skitrekk","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 12:57","Harstad klatreklubb","Harstad","hkkdropin@gmail.com","Klatring","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 12:58","Trastad samlinger","Harstad","ragnhild@stmu.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","16/01/2025 - 14:57","Sollifjellet/Sollia alpinsenter","Harstad","post@sollifjellet.no","Skitrekk","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 12:58","Harstad kino","Harstad","post@harstadkulturhus.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","17/02/2026 - 09:39","Trondenes historiske senter","Harstad","post@stmu.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","11/11/2024 - 14:12","Levanger bowling","Levanger","post@levangerbowling.no","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","18/05/2022 - 10:04","Levanger håndball","Levanger","adm@lhk.no","Håndball","✔","rediger","slett"
"04/12/2017 - 14:20","16/06/2025 - 08:38","Trønderhallen","Levanger","","Svømming","✖","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 12:59","Finnsnes kino","Senja kommune","","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 12:59","Midt-Troms paintball","Senja kommune","midt.troms.pbk@gmail.com","Paintball","✔","rediger","slett"
"04/12/2017 - 14:20","03/07/2025 - 11:50","Orkla industrimuseum","Orkland","","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 15:07","Glomfjord kino","Meløy","tronarnt@hotmail.com","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","20/10/2025 - 08:25","Aurora kino","Narvik","post@aurorakino.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","20/11/2024 - 16:17","Knyken skisenter","Orkland","","Skitrekk","✔","rediger","slett"
"04/12/2017 - 14:20","18/01/2022 - 11:46","Polarsirkelen golf","Rana","post@polarsirkelengolf.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","10/06/2025 - 11:00","Rana kinoteater","Rana","kino@rana.kommune.no","Kino/Teater","✔","rediger","slett"
