tittel,type,filtype,spraak,tilleggsmateriale,hvilken_lek
"Aktiv læring, manual ungdomsskole",Aktiv læring | Manualer,pdf,nb,nei,
"Programbeskrivelse, ungdomsskole",Drift av TL | Informasjon,pdf,nb,nei,
"Programbeskrivelse, barneskole",Drift av TL | Informasjon,pdf,nb,nei,
"Attest, bokmål",Diplom og attester,pdf,nb,nei,
"Attest, nynorsk",Diplom og attester,pdf,nn,nei,
"Fysisk aktivitet og helse, undervisningsopplegg",Ungdomsskole | Valgfag | Fysisk aktivitet og helse,pdf,nb,nei,
"Fysisk aktivitet og helse, egenvurdering",Valgfag | Fysisk aktivitet og helse,pdf,nb,nei,
"Fysisk aktivitet og helse, eksempel program",Valgfag | Fysisk aktivitet og helse,pdf,nb,nei,
"Fysisk aktivitet og helse, eksempel utstyrsliste",Valgfag | Fysisk aktivitet og helse,pdf,nb,nei,
"Fysisk aktivitet og helse, klippekort deltagere (interaktiv)",Valgfag | Fysisk aktivitet og helse,pdf,nb,nei,
"Fysisk aktivitet og helse, klippekort deltagere",Valgfag | Fysisk aktivitet og helse,pdf,nb,nei,
"Fysisk aktivitet og helse, mal informasjon til ansatte (interaktiv)",Valgfag | Fysisk aktivitet og helse,pdf,nb,nei,
"Fysisk aktivitet og helse, mal informasjon til ansatte",Valgfag | Fysisk aktivitet og helse,pdf,nb,nei,
"Fysisk aktivitet og helse, mal program (interaktiv)",Valgfag | Fysisk aktivitet og helse,pdf,nb,nei,
"Fysisk aktivitet og helse, mal program",Valgfag | Fysisk aktivitet og helse,pdf,nb,nei,
"Fysisk aktivitet og helse, mal utstyrsliste (interaktiv)",Valgfag | Fysisk aktivitet og helse,pdf,nb,nei,
"Fysisk aktivitet og helse, mal utstyrsliste ",Valgfag | Fysisk aktivitet og helse,pdf,nb,nei,
"Fysisk aktivitet og helse, planleggingsmal (interaktiv)",Valgfag | Fysisk aktivitet og helse,pdf,nb,nei,
"Fysisk aktivitet og helse, planleggingsmal ",Valgfag | Fysisk aktivitet og helse,pdf,nb,nei,
"Informasjonsskriv foresatte, ungdomsskole",Drift av TL | Informasjon til foresatte,pdf,nb,nei,
"Informasjonsskriv personalet, ungdomsskole",Drift av TL | Informasjon,pdf,nb,nei,
"Innsats for andre, undervisningsopplegg",Ungdomsskole | Valgfag | Innsats for andre,pdf,nb,nei,
"Innsats for andre, framdriftsplan (interaktiv)",Valgfag | Innsats for andre,pdf,nb,nei,
"Innsats for andre, loggmal",Valgfag | Innsats for andre,pdf,nb,nei,
"Invitasjon til aktivitetskurs, ungdomsskole",Drift av TL | Invitasjoner,pdf,nb,nei,
"Invitasjon til aktivitetskurs, ungdomsskole nynorsk",Drift av TL | Invitasjoner,pdf,nn,nei,
"Periodeplan, ungdomsskole",Drift av TL | Tips og plakater | Periodeplan,docx,nb,nei,
Søknad TL,"Drift av TL | Nominasjon, søknad og advarsel | Søknad",pdf,nb,nei,
Søknad TL med TL-styre,"Drift av TL | Nominasjon, søknad og advarsel | Søknad",pdf,nb,nei,
Diplom TL v.2 (interaktiv),Diplom og attester,pdf,nb,nei,
"Diplom TL, nynorsk (interaktiv)",Diplom og attester,pdf,nn,nei,
"Diplom TL, nynorsk v.2 (interaktiv)",Diplom og attester,pdf,nn,nei,
Nominasjonslapp - nynorsk,"Drift av TL | Nominasjon, søknad og advarsel | Nominasjon",pdf,nn,nei,
"Snøen har kommet-dag, nynorsk",Lek med tema,pdf,nn,nei,
Snøen har kommet-dag,Lek med tema,pdf,nb,nei,
"Våren har kommet-dag, nynorsk",Lek med tema,pdf,nn,nei,
Våren har kommet-dag,Lek med tema,pdf,nb,nei,
Advarsel (påminnelse om å endre adferd) - bokmål,"Nominasjon, søknad og advarsel | Advarsel",pdf,nb,nei,
Advarsel (påminnelse om å endre adferd) - nynorsk,"Nominasjon, søknad og advarsel | Advarsel",pdf,nn,nei,
FAU diplom,Drift av TL | Søknader om tilskudd,pdf,nb,nei,
Firmadiplom,Diplom og attester,pdf,nb,nei,
"Fotballturnering, mal",Turneringer og TL-Mester | Turneringer,pdf,nb,nei,
"Diplom TL, tom",Diplom og attester,pdf,nb,nei,
Oversikt over antall TL-verv,"Drift av TL | Nominasjon, søknad og advarsel | Nominasjon",pdf,nb,nei,
Takk for innsatsen-dag,Drift av TL | Invitasjoner,pdf,nb,nei,
"Informasjonsskriv personalet, barneskole",Drift av TL | Informasjon,pdf,nb,nei,
"Periodeplan, barneskole",Drift av TL | Tips og plakater | Periodeplan,docx,nb,nei,
"Invitasjon til lekekurs, nynorsk",Drift av TL | Invitasjoner,pdf,nn,nei,
Invitasjon til lekekurs,Drift av TL | Invitasjoner,pdf,nb,nei,
Lekemanual,Lek og aktivitet | Manualer,pdf,nb,nei,
"Aktiv læring, manual barneskole",Aktiv læring | Manualer,pdf,nb,nei,
Ledelseskort,Ungdomsskole | Lederutdanning,pdf,nb,nei,
Invitasjon Aktiv læring (redigerbar),Aktiv læring | Informasjon,pdf,nb,nei,
Informasjon om TL,Drift av TL | Informasjon,pdf,nb,nei,
Fordeler med å være en TL-skole,Drift av TL | Informasjon,pdf,nb,nei,
"Aktiv læring, informasjonsskriv",Aktiv læring | Informasjon,pdf,nb,nei,
Elevpresentasjon 1.-3. trinn - nynorsk,Drift av TL | Presentasjoner | Elevpresentasjoner,pptx,nn,nei,
Elevpresentasjon 1.-3. trinn,Drift av TL | Presentasjoner | Elevpresentasjoner,pptx,nb,nei,
Elevpresentasjon 4.-7. trinn,Drift av TL | Presentasjoner | Elevpresentasjoner,pptx,nb,nei,
"Oppstartsmøte, barneskole",Presentasjoner | Oppstartsmøte med trivselsledere,pptx,nb,nei,
Elevpresentasjon 8.-10. trinn,Drift av TL | Presentasjoner | Elevpresentasjoner,pptx,nb,nei,
"Oppstartsmøte, ungdomsskole",Drift av TL | Presentasjoner | Oppstartsmøte med trivselsledere,pptx,nb,nei,
TL-Mester poengsystem - Informasjon,Turneringer og TL-Mester | TL-mester,pdf,nb,nei,
TL-Mester påmeldingsskjema,Turneringer og TL-Mester | TL-mester,pdf,nb,nei,
TL-Mester statusskjema,Turneringer og TL-Mester | TL-mester,pdf,nb,nei,
Kurshefte TL-Mester 2017,Turneringer og TL-Mester | TL-mester,pdf,nb,nei,Tipsliste TL-Mester
TL-Mester diplom (interaktiv),Turneringer og TL-Mester | TL-mester,pdf,nb,nei,
TL-Mester forslag finalerunde,Turneringer og TL-Mester | TL-mester,pdf,nb,nei,
Kurshefte 2013 høst ungdomsskole,Kurshefter,pdf,nb,nei,
Kurshefte 2013 høst barneskole,Kurshefter,pdf,nb,nei,
Kurshefte 2014 høst ungdomsskole,Kurshefter,pdf,nb,nei,
Kurshefte 2014 høst barneskole,Kurshefter,pdf,nb,nei,
Kurshefte 2014 vinter ungdomsskole,Kurshefter,pdf,nb,nei,
Kurshefte 2014 vinter barneskole,Kurshefter,pdf,nb,nei,
Kurshefte 2015 høst,Kurshefter,pdf,nb,nei,
Kurshefte 2015 vinter ungdomsskole,Kurshefter,pdf,nb,nei,
Kurshefte 2015 vinter barneskole,Kurshefter,pdf,nb,nei,
Kurshefte 2016 høst barneskole,Kurshefter,pdf,nb,nei,
Kurshefte 2016 høst ungdomsskole,Kurshefter,pdf,nb,nei,
Kurshefte 2016 vinter barneskole,Kurshefter,pdf,nb,nei,
Kurshefte 2017 høst barneskole,Kurshefter,pdf,nb,nei,
Kurshefte 2017 høst ungdomsskole,Kurshefter,pdf,nb,nei,
Kurshefte 2017 vinter barneskole,Kurshefter,pdf,nb,nei,
"Bison, tekstelementer",Aktiv læring,pdf,nb,nei,BISON - lesestrategi
"Bison, fasit",Aktiv læring,pdf,nb,nei,BISON - lesestrategi
"Løper og bøyer, ordkort (verb)",Aktiv læring,pdf,nb,nei,”Løper” og ”Bøyer” - irregular verbs
"Løper og bøyer, skjema (verb)",Aktiv læring,pdf,nb,nei,”Løper” og ”Bøyer” - irregular verbs
"True or false, lapper",Aktiv læring,pdf,nb,nei,True or false
"True or false, påstander",Aktiv læring,pdf,nb,nei,True or false
"True or false, fagtekst (Los Angeles)",Aktiv læring,pdf,nb,nei,True or false
"US Stateclash, kart med tall",Aktiv læring,pdf,nb,nei,US Stateclash!
"US Stateclash, navn på stater",Aktiv læring,pdf,nb,nei,US Stateclash!
"US Stateclash, fasit",Aktiv læring,pdf,nb,nei,US Stateclash!
"US Stateclash, talliste",Aktiv læring,pdf,nb,nei,US Stateclash!
Algebra med terning,Aktiv læring,pdf,nb,nei,Algebra med terning
Brøkbingo,Aktiv læring,pdf,nb,nei,Brøkbingo
Da Vinci-koden,Aktiv læring,pdf,nb | nn,nei,Da Vinci-koden (ungdomsskole)
Faktor eller multiplum,Aktiv læring,pdf,nb,nei,Faktor eller multiplum 
"Kim's matematikk, fasit likninger",Aktiv læring,pdf,nb,nei,Kim's matematikk
"Kim's matematikk, oppgaver likninger",Aktiv læring,pdf,nb,nei,Kim's matematikk
"Parvenn, fasit",Aktiv læring,pdf,nb,nei,Parvenn 
"Parvenn, oppgavekort",Aktiv læring,pdf,nb,nei,Parvenn 
"Regnestykket, algebra",Aktiv læring,pdf,nb,nei,Regnestykket
"Regnestykket, brøk",Aktiv læring,pdf,nb,nei,Regnestykket
"Regnestykket, fasit",Aktiv læring,pdf,nb,nei,Regnestykket
"Regnestykket, symboler",Aktiv læring,pdf,nb,nei,Regnestykket
Stafett med geometriske figurer,Aktiv læring,pdf,nb,nei,Stafett med geometriske figurer
Cellenes sannheter,Aktiv læring,pdf,nb,nei,Cellenes sannheter
Dyre- og planteceller,Aktiv læring,pdf,nb,nei,Dyre- og planteceller
"Fosterveien, redigerbar",Aktiv læring,pdf,nb,nei,Fosterveien
"Fosterveien, fasit",Aktiv læring,pdf,nb,nei,Fosterveien
"Fosterveien, spørsmål",Aktiv læring,pdf,nb,nei,Fosterveien
"Galileos eksperiment, forslag til naturfagsrapport",Aktiv læring,pdf,nb,nei,Galileos eksperiment
"Jeopardy jungle, fasit",Aktiv læring,pdf,nb,nei,Jeopardy jungle
"Jeopardy jungle, spørsmål",Aktiv læring,pdf,nb,nei,Jeopardy jungle
"Jeopardy jungle, svarkort",Aktiv læring,pdf,nb,nei,Jeopardy jungle
"Prevensjonsjakt, fasit",Aktiv læring,pdf,nb,nei,Prevensjonsjakt
"Prevensjonsjakt, bilder og faktakort",Aktiv læring,pdf,nb,nei,Prevensjonsjakt
"25-leken lov og rett, fasit (ungdomsskole)",Aktiv læring,pdf,nb,nei,25-leken om lov og rett
"25-leken lov og rett, oppgaver (ungdomsskole)",Aktiv læring,pdf,nb,nei,25-leken om lov og rett
"Befolkningsfrisbee, fasit",Aktiv læring,pdf,nb,nei,Befolkningsfrisbee
"Befolkningsfrisbee, oppgaver",Aktiv læring,pdf,nb,nei,Befolkningsfrisbee
"Befolkningsfrisbee, poengkort",Aktiv læring,pdf,nb,nei,Befolkningsfrisbee
"Demokrati og maktfordeling, fasit",Aktiv læring,pdf,nb,nei,Demokrati og maktfordeling
"Demokrati og maktfordeling, spørsmålskort",Aktiv læring,pdf,nb,nei,Demokrati og maktfordeling
"Forbrukshistorie, fasit",Aktiv læring,pdf,nb,nei,Forbrukshistorie
"Forbrukshistorie, historiekort",Aktiv læring,pdf,nb,nei,Forbrukshistorie
"Klimastol, fargekort",Aktiv læring,pdf,nb,nei,Klimastol
"Klimastol, fasit",Aktiv læring,pdf,nb,nei,Klimastol
"Klimastol, påstander",Aktiv læring,pdf,nb,nei,Klimastol
"Krigsbingo, bingobrett",Aktiv læring,pdf,nb,nei,Krigsbingo
"Krigsbingo, fasit",Aktiv læring,pdf,nb,nei,Krigsbingo
"Krigsbingo, spørsmålskort",Aktiv læring,pdf,nb,nei,Krigsbingo
"Land og hovedstad, Europa",Aktiv læring,pdf,nb,nei,Land og hovedstad
"Revolusjonelle nøtter, fasit",Aktiv læring,pdf,nb,nei,Revolusjonelle nøtter
"Revolusjonelle nøtter, spørsmålskort",Aktiv læring,pdf,nb,nei,Revolusjonelle nøtter
"Økonomisk bowling, fasit",Aktiv læring,pdf,nb,nei,Økonomisk bowling
"Økonomisk bowling, spørsmålskort",Aktiv læring,pdf,nb,nei,Økonomisk bowling
Picture and word bingo - everyday life,Aktiv læring,pdf,nb | nn | en,nei,Picture and word bingo - Everyday vocabulary
Perform a text,Aktiv læring,pdf,nb,nei,Perform a text
Fire hjørner - Årstider: Ordkort med bilder,Aktiv læring,pdf,nb | nn | en,nei,Fire hjørner - Everyday Vocabulary
