tid,type,forelder,antall_dokumenter
2,Aktiv læring,,280
901,Drift av TL,,54
906,Kurshefter,Lek og aktivitet,34
910,Tilleggsmateriale til leker,Lek og aktivitet,27
912,Tips og plakater,Drift av TL,27
908,Lekeplakater/A4-beskrivelser,Lek og aktivitet,25
904,Trivselspatruljen,,21
1239,Plakater,Tips og plakater,18
37,Valgfag,Ungdomsskole,17
38,Turneringer og TL-Mester,,17
913,"Nominasjon, søknad og advarsel",Drift av TL,15
914,Fysisk aktivitet og helse,Valgfag,14
1243,TL-mester,Turneringer og TL-Mester,14
27,Presentasjoner,Drift av TL,11
900,Kurshefter,Aktiv læring,11
925,Lek med tema,Lek og aktivitet,10
29,Diplom og attester,Drift av TL,9
535,Verdisamlinger,Trivselspatruljen,9
920,Ukeplaner med lek,Lek og aktivitet,9
905,Informasjon,Drift av TL,8
919,Drift av TP,Trivselspatruljen,8
1235,Elevpresentasjoner,Presentasjoner,8
917,Lek og aktivitet,,7
1233,Søknad,"Nominasjon, søknad og advarsel",7
911,Informasjon til foresatte,Informasjon,6
924,Tilleggsmateriale til leker,Trivselspatruljen,6
1230,TL-logo,Drift av TL,6
1232,Nominasjon,"Nominasjon, søknad og advarsel",6
926,Invitasjoner,Drift av TL,5
1237,Periodeplan,Tips og plakater,5
1238,Tips,Tips og plakater,5
1240,Ungdomsskole,,5
1113,Søknader om tilskudd,Drift av TL,4
902,Informasjon,Aktiv læring,3
903,Manualer,Aktiv læring,3
915,Innsats for andre,Valgfag,3
918,Informasjon,Trivselspatruljen,3
923,Move-it,Lek og aktivitet,3
1236,Oppstartsmøte med trivselsledere,Presentasjoner,3
1241,Lederutdanning,Ungdomsskole,3
1244,Turneringer,Turneringer og TL-Mester,3
921,Velkommen 1. klasse!,Lek og aktivitet,2
922,Seminar,,2
1167,Pratekort,,2
1231,Informasjon om kulturkort,Informasjon,2
1234,Advarsel,"Nominasjon, søknad og advarsel",2
201,Julekalender,Lek og aktivitet,1
907,Manualer,Lek og aktivitet,1
909,Kurshefter,Trivselspatruljen,1
951,Aball,Aktiv læring,1
916,Takk for innsatsen,Drift av TL,0
