tid,kategori,antall_leker
259,Ballaktiviteter,135
358,Sisten,73
359,Strategi,91
360,Reaksjon,60
361,Stafett,61
367,Presisjon,116
372,Minglestasjon,23
375,Orientering,15
383,Aktiviteter på snø,23
387,Fellesaktiviteter,8
388,Stein-saks-papir,8
389,Lek i blinde,12
484,Lek til musikk og rytme,36
510,Dramatisering og rollespill,4
513,Ellinger,1
515,Friidrett,8
534,Verdisamlinger,3
578,Move It,2
619,. Laginndeling,4
665,Balanse,8
893,A-ball,1
929,. Leke- og aktivitetskurs,11
1021,Bli kjent-leker,1
1039,Julekalender,2
1115,SFO/AKS,1
1116,Fysak,1
1122,KRØ,3
1126,Månedens leker 2025,1
1134,Månedens Move it 2025,1
1136,TL-Mester,1
1140,Høytid og tema,1
1141,Kropp og hjerne,6
1142,Påske,2
1143,Fotball,1
1153,.Utfordringer,14
1166,Månedens utfordringer 2025,1
1168,Lekekurs høst 2025,1
1175,Utføres alene,14
1176,Utføres parvis,27
1177,Utføres i gruppe,77
1178,Halloween,1
1179,KIN-ball,0
1181,Lekekurs vinter 2026,1
1183,Månedens leker 2026,1
1184,Månedens utfordringer 2026,1
1185,.Månedens Move it 2026,1
1187,. Månedens leker,1
1189,Favoritter,1
1190,Sosial kompetanse,1
1216,* Tipslister,1
1217,Leker for 100+ elever,1
1228,Lekekurs høst 2026,2
