samling_nid,samling_tittel,lenketekst,href,format,maal_nid,maal_type,maal_publisert,finnes
15468,Tipsliste til SFO/AKS,Klokka/Klokken,https://trivselsleder.no/klokka-klokken,full-adresse,13632,game,ja,ja
15468,Tipsliste til SFO/AKS,Snørrmonsteret,https://trivselsleder.no/snorrmonsteret,full-adresse,1059,game,ja,ja
15468,Tipsliste til SFO/AKS,Alle mot alle,https://trivselsleder.no/alle-mot-alle-0,full-adresse,13659,game,ja,ja
15468,Tipsliste til SFO/AKS,Mastermind,https://trivselsleder.no/mastermind-1,full-adresse,13656,game,ja,ja
15468,Tipsliste til SFO/AKS,Ringbattle,https://trivselsleder.no/ringbattle,full-adresse,1053,game,ja,ja
15468,Tipsliste til SFO/AKS,Ekornsisten,https://trivselsleder.no/ekornsisten,full-adresse,1247,game,ja,ja
15468,Tipsliste til SFO/AKS,Flip out,https://trivselsleder.no/flip-out,full-adresse,8853,game,ja,ja
15468,Tipsliste til SFO/AKS,Alle sammen ut av huset,https://trivselsleder.no/alle-sammen-ut-av-huset,full-adresse,2718,game,nei,ja
15468,Tipsliste til SFO/AKS,"Løve, løvetemmer og ballerinadanser",https://trivselsleder.no/love-lovetemmer-og-ballerinadanser,full-adresse,1050,game,ja,ja
15468,Tipsliste til SFO/AKS,Ringbattle,https://trivselsleder.no/ringbattle,full-adresse,1053,game,ja,ja
15468,Tipsliste til SFO/AKS,Sumpmonsteret,https://trivselsleder.no/sumpmonsteret,full-adresse,6092,game,ja,ja
15468,Tipsliste til SFO/AKS,Supermusa,https://trivselsleder.no/supermusa,full-adresse,13623,game,ja,ja
15468,Tipsliste til SFO/AKS,TL-danser,https://trivselsleder.no/tl-dans,full-adresse,,finnes_ikke,,nei
15468,Tipsliste til SFO/AKS,Ekornsisten,https://trivselsleder.no/ekornsisten,full-adresse,1247,game,ja,ja
15468,Tipsliste til SFO/AKS,Steinen bak ryggen,https://trivselsleder.no/steinen-bak-ryggen,full-adresse,1248,game,ja,ja
15468,Tipsliste til SFO/AKS,Poengball,https://trivselsleder.no/poengball,full-adresse,8854,game,ja,ja
15468,Tipsliste til SFO/AKS,Supermusa,https://trivselsleder.no/supermusa,full-adresse,13623,game,ja,ja
15468,Tipsliste til SFO/AKS,Klokka/Klokken,https://trivselsleder.no/klokka-klokken,full-adresse,13632,game,ja,ja
15468,Tipsliste til SFO/AKS,Den flyvende pennen,https://trivselsleder.no/den-flyvende-pennen,full-adresse,13635,game,ja,ja
15468,Tipsliste til SFO/AKS,Togstopp,https://trivselsleder.no/togstopp,full-adresse,13625,game,ja,ja
15468,Tipsliste til SFO/AKS,Dyrene skriker,https://trivselsleder.no/dyrene-skriker,full-adresse,1138,game,ja,ja
15468,Tipsliste til SFO/AKS,Dyrene skriker,https://trivselsleder.no/dyrene-skriker,full-adresse,1138,game,ja,ja
15468,Tipsliste til SFO/AKS,"Stein, saks, papir - runden",https://trivselsleder.no/stein-saks-papir-runden-1,full-adresse,13661,game,nei,ja
15468,Tipsliste til SFO/AKS,Heia Heidi,https://trivselsleder.no/heia-heidi,full-adresse,1064,game,ja,ja
15468,Tipsliste til SFO/AKS,Enarmet Banditt,https://trivselsleder.no/enarmet-banditt,full-adresse,2468,game,ja,ja
15468,Tipsliste til SFO/AKS,"Stein, saks, papir - stigen",https://trivselsleder.no/stein-saks-papir-stigen,full-adresse,10131,game,ja,ja
15468,Tipsliste til SFO/AKS,Kortstokktrening,https://trivselsleder.no/kortstokktrening,full-adresse,3930,game,ja,ja
15468,Tipsliste til SFO/AKS,Fange finger,https://trivselsleder.no/fange-finger,full-adresse,2264,game,ja,ja
15468,Tipsliste til SFO/AKS,Hatten på,https://trivselsleder.no/hatten-pa,full-adresse,10132,game,ja,ja
15468,Tipsliste til SFO/AKS,Den forsvunne diamanten,https://trivselsleder.no/den-forsvunne-diamanten,full-adresse,10129,game,ja,ja
15468,Tipsliste til SFO/AKS,Felles krefter,https://trivselsleder.no/felles-krefter,full-adresse,2277,game,ja,ja
