nid,tittel,antall_min,antall_maks,antall_raatekst,utstyr_felt,utstyr_tekst,uenig_utstyr,har_video,antall_videoer,har_bilde,antall_bilder,har_original,avvikstype
1037,Ostejakten,8,50,8-50,Små rockeringer | Markeringstallerkener | Forfølgelseballer | Erteposer | Markeringsvester,,nei,nei,0,ja,1,ukjent_token,c:bilde
1039,Fengselsdirektøren og fangene,5,20,5-20,Voli-Racketer | Waboba flyers | Ogo-sport | Ogo-ball | Markeringstallerkener,"Markeringstallerkener, skumfrisbee, startkjegle og markeringsmatter",nei,ja,1,ja,1,ukjent_token,c:bilde
1040,Bil og garasje,6,30,6-30,Forfølgelseballer | Erteposer,3 Minikjegler/erteposer,nei,ja,1,nei,0,na,
1041,Samlerne,4,20,4-20,Markeringsmatter | Kortstokk,"Kortstokk og 40 markeringstallerkener (kan også gjennomføres utenmarkeringstallerkener), evt. en kjegle til hvert lag.",nei,ja,1,nei,0,na,
1043,Troll-leken (Mangler tilleggsmateriale),10,,10 eller flere,Markeringstallerkener | Tilleggsmateriale | Nummerlapper,Markeringstallerkener og nummerlapper. Ferdig kopierte kartskisser (én per deltager).,nei,nei,0,ja,1,ukjent_token,c:bilde
1044,Star Wars,10,30,10-30,Markeringstallerkener | Dragonskin skumball | Rockeringer | Lagbånd | Markeringsvester,"Markeringstallerkener, 2 Dragonskin softballer, 2 rockeringer, 2 vester i ulike farger og markeringsbånd til lagene i de samme fargene som vestene.",nei,nei,0,ja,1,ukjent_token,c:bilde
1045,Blinkstafetten,4,,4 eller flere,Poengmatter | Erteposer | Disc-boccia | Markeringstallerkener,"2 poengmatter, 20 erteposer/Disc-boccia i 4 ulike farger. Kjegler/ markeringstallerkener til oppmerking av bane.",nei,ja,1,ja,2,ukjent_token,c:bilde
1046,Battle Royale,8,,8 eller flere,Dragonskin skumball | Six-Ball | Monsterball 500 | Rockeringer | Markeringstallerkener | Markeringsvester,"5-8 Dragonskin softballer (det skal være færre baller enn lag), 1 Monsterball 500, 2 rockeringer, vester til byggerne, markeringstallerkener til oppmerking av bane.",nei,nei,0,ja,1,ukjent_token,c:bilde
1047,Pizza-sisten,5,,5 eller flere,Uten utstyr,,nei,nei,0,ja,1,ukjent_token,c:bilde
1048,Samurai,10,,10 eller flere,"Skumrør ""Samuraisverd"" | Markeringstallerkener",,nei,ja,1,nei,0,na,
1050,"Løve, Løvetemmer og Ballerinadanser",10,100,10-100,Uten utstyr,,nei,nei,0,nei,0,na,
1051,Lærerne knuser kidsa,30,200,30 - 200,Kin-Ball,Kin-ball,nei,ja,1,nei,0,na,
1052,Nord og sør,20,200,ca. 20-200,Kin-Ball | Six-Ball,"KIN-ball, SIX-ball",nei,ja,1,nei,0,na,
1053,Ringbattle,6,16,6-16,Små rockeringer | Erteposer | Minikjegler,12-20 rockeringer (koordinasjonsringer) og 12 minikjegler/ erteposer til skatter,nei,ja,1,ja,1,ukjent_token,c:bilde
1054,Sjiraffen,8,20,8-20,Blendebrille | Markeringsmatter | Markeringstallerkener,"Øyebind til alle deltakerne (eller bare lukke øynene), markeringsmatter/tallerkener til oppmerking av banen.",nei,ja,1,nei,0,na,
1055,Stikkball med lag,9,,9 eller flere,Dragonskin skumball | Markeringstallerkener | Markeringsvester,"3-5 Dragonskin skumballer, vester til lagene og markeringstallerkener",nei,nei,0,ja,1,ukjent_token,c:bilde
1056,Crazyking,6,,6 eller flere,Fotball | Markeringstallerkener | Volleyball,"En fotball, volleyball eller annen ball med god sprett, kritt eller markeringstallerkener til å markere bane",nei,nei,0,ja,1,ukjent_token,c:bilde
1057,Spring for livet!,8,,8 eller flere,Markeringskjegler | Markeringstallerkener | Rockeringer,"20 markeringskjegler (ikke gule), 12 markeringstallerkener, 6 gule markeringskjegler og 2 rockeringer",nei,nei,0,ja,1,ukjent_token,c:bilde
1058,Yoshi,8,50,8-50,Matter | Markeringstallerkener | Lagbånd,Lagbånd til inndeling i lag og markeringsmatter/tallerkener til oppmerking av banen.,nei,ja,1,ja,1,ukjent_token,c:bilde
1059,Snørrmonsteret,8,30,8-30,Markeringstallerkener | Monsterball 500 | Six-Ball | Erteposer,"SIX-ball med hoppetau (som puttes inni ballen når den blåses opp, slik at den festes), 4 rockeringer,",nei,ja,1,nei,0,na,
1060,Silent Escape,6,30,6-30.,Nøkkelknippe | Uten utstyr,"Nøkkelknippe eller annen liten ting som lager lyd, markeringstallerkener eller annet for å lage en startstrek",nei,ja,1,ja,2,ukjent_token,c:bilde
1061,Kremmerhuset,6,20,6-20,Markeringskjegler | Tennisballer | Innebandyballer | Erteposer | Rockeringer | Kurver,"4 markeringskjegler, ca. 25 mindre baller (innebandyballer/tennisballer), 20 erteposer, 3 rockeringer/kurver/bøtter.",nei,nei,0,ja,1,ukjent_token,c:bilde
1062,Mastermind,4,,4 eller flere,Markeringstallerkener | Forfølgelseballer | Benker,"markeringstallerkener, minikjegler i fem ulike farger, benk.",nei,ja,1,ja,1,ukjent_token,c:bilde
1063,Poengsisten,6,25,6-25,Markeringstallerkener | Rockeringer,"6-10 markeringstallekener, 1 rockering",nei,nei,0,nei,0,na,
1064,Heia Heidi,10,200,10-200,Uten utstyr,,nei,ja,1,ja,1,ukjent_token,c:bilde
1065,Dropball,8,,8 eller flere,Dragonskin skumball | Markeringskjegler | Lagbånd,"En myk ball, kjegler til å markere banen, markeringsvester",nei,ja,1,ja,1,ukjent_token,c:bilde
1066,Gladiatorene,8,30,8-30,Rockeringer | Erteposer | Dragonskin skumball | Dodgebees | Six-Ball | Monsterball 500,"4 kjegler, 3 koordinasjonsringer, 15-20 minikjegler/erteposer, 4-6 Dragonskin skumballer og markeringsmatter/tallerkener",nei,ja,1,nei,0,na,
1067,Snikskytter’n,2,20,2-20,Markeringskjegler | Dragonskin skumball,"14 markeringskjegler, mange myke baller",nei,nei,0,ja,1,ukjent_token,c:bilde
1068,TL-veien,4,16,4-16,Agility ladder | Kritt | Markeringstallerkener,"Agility ladder (stige), kritt eller markeringstallerkener, fasit",nei,nei,0,ja,1,ukjent_token,c:bilde
1069,Skattejakt,10,,10 eller flere,Erteposer | Forfølgelseballer | Markeringstallerkener | Rockeringer,"4 rockeringer, 10-20 erteposer/forfølgelsesballer og markerinstallerkener",nei,nei,0,ja,1,ukjent_token,c:bilde
1070,Bildestafett,6,,6 eller flere,,Bilder og bingobrett,nei,nei,0,ja,1,ukjent_token,c:bilde
1071,Piloten,2,,2 eller flere,Blendebrille | Markeringskjegler,"Øyebind og markeringskjegler, tau, pinner, eller lignende for å lage en bane",nei,ja,1,nei,0,na,
1072,Juveltyven,7,20,7-20,Lagbånd | Dragonskin skumball | Markeringstallerkener,1 ball eller markeringsbånd,nei,nei,0,nei,0,na,
1073,Den store romjakten,8,25,8-25,Markeringstallerkener,4 markeringstallerkener for å markere banen,nei,nei,0,nei,0,na,
1075,Yeti,8,,8 eller flere,Six-Ball | Erteposer | Rockeringer,"En eller flere six-baller, krystaller (erteposer, små gjenstander eller lignende.) og én rokkering per lag",nei,nei,0,ja,1,ukjent_token,c:bilde
1076,Fire lys,3,,3 eller flere,Markeringskjegler | Uten utstyr,"Tau eller opptegnet strek, 4 små baller/kjegler i ulike farger",nei,ja,1,nei,0,na,
1077,Bowling-stafett m/terning,2,,2 eller flere,Fotball | Markeringskjegler | Terning,Markeringskjegler eller TL-bowlingsett og 1 terning per lag,nei,nei,0,nei,0,na,
1078,Slimers,9,,9-,Erteposer | Markeringskjegler,2-3 erteposer og markeringskjegler til oppmerking,nei,nei,0,nei,0,na,
1079,Blindekast,10,15,10-15,Erteposer | Stort teppe | Markeringstallerkener,"Stort teppe/vegg, 10-15 erteposer og 1 markeringstallerken",nei,nei,0,ja,1,ukjent_token,c:bilde
1080,Fjelltåka,2,15,2-15,Blendebrille | Markeringskjegler,"20 markeringskjegler, øyebind",nei,nei,0,ja,1,ukjent_token,c:bilde
1081,Strategiball,5,20,5-20,Markeringstallerkener | Dragonskin skumball,En liten ball (f.eks. dragonskin softball) og en kinahatt p/deltager,nei,nei,0,nei,0,na,
1082,Wembley,6,20,6-20,Markeringsvester | Markeringskjegler | Lite mål | Fotball,"Markeringsvester til ett lag, ett lite mål, 4 markeringskjegler og 1 fotball",nei,ja,1,nei,0,na,
1083,Basse,3,10,3-10,Rockeringer | Basseball,6 rockering og Basseball (hjemmelaget ball laget av en sykkelslange som er klippet i stykker og knytt sammen),nei,nei,0,ja,1,ukjent_token,c:bilde
1084,Hugga Sagga,5,40,5-40,Uten utstyr,,nei,nei,0,ja,1,ukjent_token,c:bilde
1087,Kjøtt og blod,6,30,6-30,Uten utstyr,,nei,nei,0,ja,1,ukjent_token,c:bilde
1089,Bodyguard,10,25,10-25,Dragonskin skumball,3 Dragonskin skumballer,nei,nei,0,nei,0,na,
1090,Gris in action,2,25,2-25,,"1-3 kortstokker, en eller flere matter/felt markert med markeringstallerkener",nei,nei,0,nei,0,na,
1091,Ladder Golf-stafett,6,20,6-20,Ladder ball-sett | Forfølgelseballer | Forfølgelseballkurver,"2 Ladder ball-sett, 3 forfølgelsesballkurver, 30 forfølgelsesballer",nei,nei,0,ja,1,ukjent_token,c:bilde
