nid,tittel,nodetype,moveit_underkategorier,alle_kategorier,har_video_flag,har_video_embed,antall_markor,utstyr,tl_mester,publisert
2281,100 om dagen!,game,Utføres alene,Utføres alene,ja,ja,ja,Uten utstyr,,1
3939,21,game,Utføres parvis,Utføres parvis,ja,ja,nei,,,1
2279,7 min workout,game,Utføres alene,Utføres alene,nei,nei,ja,Uten utstyr,,1
3688,ABC-123,game,Utføres alene,Utføres alene,ja,ja,ja,Uten utstyr,,1
3932,Aktivitetssirkel,game,Utføres alene,Utføres alene,nei,ja,nei,Uten utstyr,,1
1139,Atomer og molekyler,game,Utføres i gruppe,Utføres i gruppe,nei,nei,ja,Markeringstallerkener,,1
1433,Atomleken,game,Utføres i gruppe,Utføres i gruppe,ja,ja,ja,Uten utstyr,,1
2272,Beveg deg som,game,Utføres i gruppe,Utføres i gruppe,nei,nei,ja,Uten utstyr,,1
2275,Bevegelsesalfabetet,game,Utføres alene,Utføres alene,ja,ja,ja,Uten utstyr,,1
8872,Bevegelsesserie,game,Utføres i gruppe,Utføres i gruppe,ja,ja,ja,Uten utstyr,,1
17724,Blyantene,game,Utføres alene,Utføres alene,ja,ja,nei,Blyanter,,1
16579,"Boom, klapp, snapp",game,Utføres parvis,Utføres parvis,ja,ja,ja,,,1
20076,Clap Trap,game,Move It,Move It,ja,ja,nei,Uten utstyr,,1
13635,Den flyvende pennen,game,Utføres i gruppe,Utføres i gruppe,ja,ja,ja,Penner,,1
2280,Den usynlige dansematten,game,Utføres i gruppe,Utføres i gruppe,nei,nei,ja,Uten utstyr,,1
1441,Det forbudte tall,game,Utføres i gruppe,Utføres i gruppe,nei,nei,ja,Uten utstyr,,1
9661,Det magiske tallet,game,Utføres parvis,Utføres parvis,nei,nei,ja,Uten utstyr,,1
1260,Dirigenten,game,Utføres i gruppe,Utføres i gruppe,nei,nei,ja,Uten utstyr,,1
6006,Dyrene i Afrika,game,Utføres i gruppe,Utføres i gruppe,ja,ja,ja,Uten utstyr,,1
1138,Dyrene skriker,game,Utføres i gruppe,Utføres i gruppe,ja,ja,ja,Uten utstyr,,1
3934,Dyreparken,game,Utføres i gruppe,Utføres i gruppe,ja,ja,ja,Uten utstyr,,1
2271,Elgen velger,game,Utføres i gruppe,Utføres i gruppe,ja,ja,ja,Uten utstyr,,1
9662,En to tre!,game,Utføres parvis,Utføres parvis,ja,ja,nei,Uten utstyr,,1
2468,Enarmet Banditt,game,Utføres i gruppe,Utføres i gruppe,ja,ja,ja,Uten utstyr,,1
16227,Erteposerekorden,game,Utføres i gruppe,Utføres i gruppe,nei,ja,nei,Ertepose,,1
2264,Fange finger,game,Utføres i gruppe,Utføres i gruppe,ja,ja,ja,Uten utstyr,,1
18398,Feil farge,game,Utføres parvis,Utføres parvis,ja,ja,ja,,,1
2277,Felles krefter,game,Utføres parvis,Utføres parvis,ja,ja,ja,Uten utstyr,,1
16714,Fingerleken ,game,Kropp og hjerne,Kropp og hjerne,ja,ja,nei,,,1
10135,Finn en feil!,game,Utføres i gruppe,Utføres i gruppe,ja,ja,ja,Uten utstyr,,1
