nid,tittel,status,fag,trinn,antall_maal_totalt,antall_utgaatt_D,antall_gyldig_A,antall_B,antall_C,kun_utgaatt,utgaatte_maal_tekst
1011,Algebra med terning,1,Matematikk,8. trinn,2,1,0,0,1,nei,Utforske algebraiske reknereglar.
1012,Brøkbingo,1,Matematikk,8. trinn,3,1,0,1,1,nei,Utvikle og kommunisere strategiar for hovudrekning i utrekningar.
1013,Brøk-kast,1,Matematikk,8. trinn,3,1,0,1,1,nei,Utvikle og kommunisere strategiar for hovudrekning i utrekningar.
1014,Da Vinci-koden (ungdomsskole),1,Matematikk,8. trinn | 9. trinn,4,2,0,0,2,nei,"Utvikle og kommunisere strategiar for hovudrekning i utrekningar. || Beskrive, forklare og presentere strukturar og utviklingar i geometriske mønster og i talmønster."
1015,Faktor eller multiplum ,1,Matematikk,8. trinn,3,1,1,0,1,nei,Utvikle og kommunisere strategiar for hovudrekning i utrekningar.
1016,Finn svaret,1,Matematikk,8. trinn,2,1,0,0,1,nei,Utvikle og kommunisere strategiar for hovudrekning i utrekningar.
1018,Magiske figurer (ungdomsskole),1,Matematikk,8. trinn | 9. trinn,4,2,0,0,2,nei,"Utvikle og kommunisere strategiar for hovudrekning i utrekningar. || Beskrive, forklare og presentere strukturar og utviklingar i geometriske mønster og i talmønster."
1019,Geometriske figurer i nærområdet,1,Matematikk,8. trinn | 9. trinn,5,1,1,1,2,nei,"Beskrive, forklare og presentere strukturar og utviklingar i geometriske mønster og i talmønster."
1020,Mr. Matematisk robotic ,1,Matematikk,8. trinn,2,1,0,0,1,nei,Utvikle og kommunisere strategiar for hovudrekning i utrekningar.
1021,Geometritauet,1,Matematikk,8. trinn | 9. trinn,4,2,0,0,2,nei,"Beskrive og generalisere mønster med eigne ord og algebraisk. || Beskrive, forklare og presentere strukturar og utviklingar i geometriske mønster og i talmønster."
1022,Parvenn ,1,Matematikk,8. trinn,3,1,1,0,1,nei,Utvikle og kommunisere strategiar for hovudrekning i utrekningar.
1023,Regnestykket,1,Matematikk,8. trinn,4,2,0,1,1,nei,Bruke potensar og kvadratrøter i utforsking og problemløysing og argumentere for framgangsmåtar og resultat. || Utvikle og kommunisere strategiar for hovudrekning i utrekningar.
1028,Fartsmåling,1,Matematikk,10. trinn | 9. trinn,4,1,0,1,2,nei,"Modellere situasjonar knytte til reelle datasett, presentere resultata og argumentere for at modellane er gyldige."
1029,Stafett med geometriske figurer,1,Matematikk,9. trinn,2,1,0,0,1,nei,"Beskrive, forklare og presentere strukturar og utviklingar i geometriske mønster og i talmønster."
1486,Form en fasit,1,Matematikk,1. trinn | 2. trinn | 3. trinn | 4. trinn,6,1,0,2,3,nei,utforske og forklare sammenhenger mellom addisjon og subtraksjon og bruke det i hoderegning og problemløsing
1487,Høyeste sum,1,Matematikk,1. trinn | 2. trinn | 3. trinn | 4. trinn,6,1,0,2,3,nei,Utforske multiplikasjon ved teljing.
1488,Kaste pyramide,1,Matematikk,1. trinn | 2. trinn | 3. trinn,4,1,0,1,2,nei,utforske og forklare sammenhenger mellom addisjon og subtraksjon og bruke det i hoderegning og problemløsing
1491,Matteleken,1,Matematikk,3. trinn | 7. trinn,4,2,0,0,2,nei,Utvikle og bruke formålstenlege strategiar for subtraksjon i praktiske situasjonar. || Bruke samansette rekneuttrykk til å beskrive og utføre utrekningar.
2921,Atomleken,1,Matematikk,1. trinn | 2. trinn | 3. trinn | 4. trinn,6,2,0,1,3,nei,"utforske tall, mengder og telling i lek, natur, billedkunst, musikk og barnelitteratur, representere tallene på ulike måter og oversette mellom de ulike representasjonene || Eksperimentere med multiplikasjon og divisjon i kvardagssituasjonar."
2934,Gangemur,1,Matematikk,4. trinn | 5. trinn,4,2,0,0,2,nei,"utforske og forklare sammenhenger mellom de fire regneartene og bruke sammenhengene hensiktsmessig i utregninger || Utforske og forklare samanhengar mellom brøkar, desimaltal og prosent og bruke det i hovudrekning."
2944,Partall og oddetall,0,Matematikk,1. trinn | 2. trinn | 3. trinn | 4. trinn,6,2,0,1,3,nei,Eksperimentere med multiplikasjon og divisjon i kvardagssituasjonar. || utforske og forklare sammenhenger mellom de fire regneartene og bruke sammenhengene hensiktsmessig i utregninger
2946,1000 up,1,Matematikk,4. trinn | 7. trinn,4,2,0,0,2,nei,utforske og forklare sammenhenger mellom de fire regneartene og bruke sammenhengene hensiktsmessig i utregninger || Bruke samansette rekneuttrykk til å beskrive og utføre utrekningar.
2947,Da Vinci-koden - geometriske figurer,1,Matematikk,3. trinn | 4. trinn | 6. trinn,6,2,0,1,3,nei,utforske og forklare sammenhenger mellom addisjon og subtraksjon og bruke det i hoderegning og problemløsing || utforske og forklare sammenhenger mellom de fire regneartene og bruke sammenhengene hensiktsmessig i utregninger
2949,Taulek,1,Matematikk,1. trinn | 2. trinn | 3. trinn | 4. trinn | 5. trinn | 6. trinn,6,1,1,1,3,nei,Utforske og beskrive symmetri i mønster og utføre kongruensavbildingar med og utan koordinatsystem.
2951,500 meter’n,1,Matematikk,1. trinn | 2. trinn | 5. trinn | 6. trinn,6,2,0,1,3,nei,"Måle og samanlikne storleikar som gjeld lengd og areal, ved hjelp av ikkje-standardiserte og standardiserte måleiningar, beskrive korleis og samtale om resultata. || Bruke variablar og formlar til å uttrykkje samanhengar i praktiske situasjonar."
2952,Hvor mye vann?,1,Matematikk,3. trinn | 4. trinn | 6. trinn,6,3,0,0,3,nei,Bruke ulike måleiningar for lengd og masse i praktiske situasjonar og grunngi valet av måleining. || Bruke ikkje-standardiserte måleiningar for areal og volum i praktiske situasjonar og grunngi valet av måleining. || Utforske mål for areal og volum i praktiske situasjonar og representere dei på ulike måtar.
2954,Steinsynlighet,1,Matematikk,5. trinn | 6. trinn,4,1,0,1,2,nei,"Formulere og løyse problem frå sin eigen kvardag som har med desimaltal, brøk og prosent å gjere og forklare eigne tenkjemåtar."
2955,Kastelengder,1,Matematikk,1. trinn | 2. trinn | 3. trinn | 6. trinn,6,3,0,0,3,nei,"Måle og samanlikne storleikar som gjeld lengd og areal, ved hjelp av ikkje-standardiserte og standardiserte måleiningar, beskrive korleis og samtale om resultata. || Bruke ulike måleiningar for lengd og masse i praktiske situasjonar og grunngi valet av måleining. || Bruke variablar og formlar til å uttrykkje samanhengar i praktiske situasjonar."
2956,Ice fishers,1,Matematikk,3. trinn | 7. trinn,4,1,0,1,2,nei,Bruke ulike måleiningar for lengd og masse i praktiske situasjonar og grunngi valet av måleining.
2957,Måling i nærmiljøet,1,Matematikk,1. trinn | 2. trinn | 7. trinn,4,1,0,1,2,nei,"utforske tall, mengder og telling i lek, natur, billedkunst, musikk og barnelitteratur, representere tallene på ulike måter og oversette mellom de ulike representasjonene"
3944,Arkitekten,0,Matematikk,4. trinn | 7. trinn,5,1,1,1,2,nei,Bruke samansette rekneuttrykk til å beskrive og utføre utrekningar.
3945,Først til 50,0,Matematikk,1. trinn | 2. trinn,2,1,0,0,1,nei,"utforske tall, mengder og telling i lek, natur, billedkunst, musikk og barnelitteratur, representere tallene på ulike måter og oversette mellom de ulike representasjonene"
3946,Multiplikasjonssquat,0,Matematikk,3. trinn,2,1,0,0,1,nei,Eksperimentere med multiplikasjon og divisjon i kvardagssituasjonar.
