utstyr,antall_leker
Markeringstallerkener,180
Uten utstyr,159
Markeringskjegler,98
Dragonskin skumball,94
Rockeringer,67
Six-Ball,43
Erteposer,40
Lagbånd,36
Musikk,33
Kin-Ball,32
Fotball,31
Markeringsmatter,30
Frisbee,28
Markeringsvester,27
Kritt,27
Dodgebees,21
Innebandyballer,20
Basketball,20
Små rockeringer,19
Stoppeklokke,17
Blendebrille,16
Innebandykøller,16
Kortstokk,15
Terning,14
Håndball,12
Miniski,12
Forfølgelseballer,11
Tennisballer,11
Benker,11
Aball,11
Disc-boccia,10
Langrennski,10
Kart,10
Ogo-sport,9
Tryllesnor,9
Tau,9
Speed Stacks,9
Speed stack jumbo,9
Flasker,8
Frisbeekurv,8
Basketkurv,8
Ball med sprett,8
Hjelm,8
Matter,7
Hoppetau,7
Bøtte,7
Blyanter,7
Volleyballnett,7
Streetracket,7
Tilleggsmateriale,6
Volleyball,6
Forfølgelseballkurver,6
Amerikansk fotball,6
Poster,6
Poengmatter,5
Monsterball 500,5
Minikjegler,5
Fotballmål,5
Innebandymål,5
Moonball,5
Ballonger,5
Målebånd,5
Stoler,5
Bordtennisball,5
Ogo-ball,4
Dragonskin skumball (små),4
Crossboccia-sett,4
Gummimadrass,4
Snøballer,4
Skøyter,4
Ark,4
Badmintonracketer,4
Badmintonfjær,4
Racketer,4
Lite mål,3
Flagg,3
Nummererte markeringskjegler,3
Plystreball,3
Liten ball,3
Omnikin-volleyball,3
Tri-Golf køller,3
Tri-Golf baller,3
Lange skumrør,3
Pinne,3
Staver,3
Slengtau,3
Tag-belter,3
Freeballer (7 cm),3
"Markeringskjegler 7,5 cm",3
Ertepose,3
Voli-Racketer,2
Waboba flyers,2
Kurver,2
Ladder ball-sett,2
Kubbespill,2
Monsterball 1000,2
TL-battle,2
Bumball sett,2
Sjakkbrett,2
Sjakkur,2
Dartsett,2
Håndballmål,2
Vegg,2
Funbattle sett,2
Fallskjerm,2
Stafettpinner,2
Skrivesaker,2
Bowlingsett,2
Akebrett,2
Blink,2
Sykkel,2
Drakamptau (Tug O war),2
Koordinasjonsstige,2
Fløyte,2
Skumterning,2
Pedalo (Lagspill Kasse Nr.1),2
Nummerlapper,1
"Skumrør ""Samuraisverd""",1
Nøkkelknippe,1
Agility ladder,1
Stort teppe,1
Basseball,1
Svingtau,1
Test,1
Pinner/stokker/plastflasker,1
Laminerte farger,1
Tusj,1
Laminerte brev,1
Ryggsekk,1
Høyttaler,1
Sokk,1
Mynt,1
Bananagrams,1
Kort med bokstaver,1
Kort med dyrenavn,1
Kuber i ulike farger,1
Sko,1
Dommer,1
Speedmintonsett,1
Bingobrett,1
Ogo Copterdart (Sett),1
Stein,1
Nummerlapper fra 1-50 med oppgaver,1
Medisinball,1
Rytmeinstrument,1
Tråder,1
Hacky sack,1
Lacrosse-sett,1
Funbattle-køller,1
Borrelåsball,1
Balltre,1
Smashball,1
Ballbinge,1
Poengtavle,1
Stang,1
Kostymer,1
Hekker,1
Høydehoppstativ,1
Duk,1
Poteter,1
Skje,1
"1,5L plastflasker",1
Koblinger,1
Returball,1
Jungelbowling,1
Rumpeakebrett,1
Presenning,1
Isklumper,1
Spade,1
Snowboard,1
Slideboard,1
Liten ball med sprett,1
Vannballonger,1
Boccia,1
Hestesko,1
Treklosser,1
Blikkbokser,1
Nummerkubb,1
Ringspill,1
Scoop sett,1
Bilder,1
Kompass,1
Skateboard,1
Enhjulssykkel,1
Sparkesykkel,1
Badmintonnett,1
Bordtennisbord,1
Bordtennisracketer,1
Diabolo,1
Jojo,1
Poi,1
Slackline,1
Brettspill,1
Yatzy,1
Mini-la-crosse racket,1
EXIT FLEXX mål,1
Fargeterning,1
Larve,1
Team toss Chute sett,1
Kronestykke,1
Nisselue,1
Reinsdyrhorn,1
Luciakrone,1
Koschballer,1
Dorull,1
KanJam,1
Korte skumrør,1
Flaggline,1
Cornhole spillplater,1
Skumfrisbee,1
Små erteposer,1
Timeglass,1
Penner,1
Dragonskin,1
"Freeballs (6,5cm)",1
(LEKER UTEN UTSTYRSFELT),105
