term_tid,term_navn,gruppe_tid
262,Matematikk,262
265,Geometri,262
268,Utforskeren,270
270,Samfunnsfag,270
271,Tall og algebra,262
275,Norsk,275
276,Demokratiforståing og deltaking,270
277,Berekraftige samfunn,270
279,"Språk, litteratur og kultur",275
283,Naturfag,283
287,"Statistikk, sannsynlighet og kombinatorikk",262
288,Funksjoner,262
290,Engelsk,290
292,Malbasert,292
293,Muntlig kommunikasjon,275
294,Måling,262
295,Kropp og helse,283
296,Skriftlig kommunikasjon,275
297,Identitetsutvikling og fellesskap,270
298,KRLE,298
300,Naturvitenskapelige praksiser og tenkemåter,283
301,Språklæring,290
304,Mangfold i naturen,283
543,.Moduler,543
545,Malbasert,545
567,Redigerbar,545
628,Samfunnskritisk tenking og samanhengar,270
629,Undring og utforsking,270
630,Energi og materie,283
631,Jorda og livet på jorda,283
643,Utforsking og problemløysing,262
644,Resonnering og argumentasjon,262
645,Modellering og anvendingar,262
646,Representasjon og kommunikasjon,262
647,Abstraksjon og generalisering,262
648,Matematiske kunnskapsområde,262
681,Utforsking av religioner og livssyn med ulike metoder,298
682,Kunne ta andres perspektiv,298
683,Utforsking av eksistensielle spørsmål og svar,298
684,Etisk refleksjon,298
685,Kjennskap til religioner og livssyn,298
686,Kommunikasjon,290
687,Møte med engelskspråklige tekster,290
691,Tekst i kontekst,275
692,Kritisk tilnærming til tekst,275
693,Skriftlig tekstskaping,275
694,Språket som system og mulighet,275
695,Språklig mangfold,275
734,Teknologi,283
952,Aball1 - alle fag,961
961,Aball 1,961
1027,Aball-hefte,961
1131,Månedens Aktiv læring 2025,1133
1133,.Månedens Aktiv læring,1133
1186,Månedens Aktiv læring 2026,1133
1192,KRØ,1192
1193,Musikk,1193
1195,Bevegelse og kroppslig læring,1192
1196,Deltakelse og samspill i bevegelsesaktiviteter,1192
1197,Utøve musikk,1193
1198,Uteaktiviteter og naturferdsel,1192
1204,Aktiv læring modul 9,543
1205,Aktiv læring modul 10,543
