vaar_tekst,bunke,udir_kode,udir_uri,udir_bokmaal,udir_nynorsk,likhetsskaar,duplikat_av,c_grunn
Etter 4. trinn:,C,,,,,,,trinn-overskrift
"Samhandle med andre gjennom lek, dramatisering, samtale og diskusjon.",D,,,,,0.556,,
"Telje til 100, dele opp og byggje mengder opp til 10, setje saman og dele opp tiargrupper opp til 100 og dele tosifra tal i tiarar og einarar.",D,,,,,0.432,,
Etter 2. trinn:,C,,,,,,,trinn-overskrift
Etter 7. trinn:,C,,,,,,,trinn-overskrift
Utføre grunnleggende setningsanalyse og vise hvordan tekster er bygd opp ved hjelp av begreper fra gramatikk og tekstkunnskap.,D,,,,,0.442,,
Vise forståelse for sammenhengen mellom språklyd og bokstav og mellom talespråk og skriftspråk,D,,,,,0.610,,
Praktisere kildesortering og diskutere hvorfor kildesortering er viktig.,D,,,,,0.490,,
"Beskrive og bruke plassverdisystemet for desimaltal, rekne med positive og negative heile tal, desimaltal, brøkar og prosent og plassere dei ulike storleikane på tallina.",D,,,,,0.519,,
"Finne samnemnar (bm.: fellesnevner) og utføre addisjon, subtraksjon og multiplikasjon av brøkar.",D,,,,,0.477,,
"Kjenne att, eksperimentere med, beskrive og vidareføre strukturar i talmønster.",D,,,,,0.568,,
"Utvikle, bruke og samtale om ulike reknemetodar for addisjon og subtraksjon av fleirsifra tal både i hovudet og på papiret",D,,,,,0.527,,
"Utvikle og bruke varierte metodar for multiplikasjon og divisjon, bruke dei i praktiske situasjonar og bruke den vesle multiplikasjonstabellen i hovudrekning og i oppgåveløysing",D,,,,,0.444,,
"Utvikle, bruke og samtale om ulike reknemetodar for addisjon og subtraksjon av fleirsifra tal både i hovudet og på papiret",D,,,,,0.527,,
"Utvikle og bruke varierte metodar for multiplikasjon og divisjon, bruke dei i praktiske situasjonar og bruke den vesle multiplikasjonstabellen i hovudrekning og i oppgåveløysing",D,,,,,0.444,,
Beskrive ordklasser og deres funksjon.,D,,,,,0.543,,
Gje døme på ulike kulturelle symbol og gjere greie for kva vi meiner med omgrepa identitet og kultur.,D,,,,,0.481,,
Utforske faseoverganger og kjemiske reaksjoner og beskrive hva som kjennetegner dem.,A,KM13841,http://psi.udir.no/kl06/KM13841,utforske faseoverganger og kjemiske reaksjoner og beskrive hva som kjennetegner dem,utforske faseovergangar og kjemiske reaksjonar og beskrive kva som kjenneteiknar dei,1.000,,
Beskrive sentrale hendingar som har ført fram til det demokratiet vi har i Noreg i dag og samanlikne korleis enkeltmenneske har høve til å påverke i ulike styresett.,A,KM14695,http://psi.udir.no/kl06/KM14695,"beskrive sentrale hendelser som har ført til det demokratiet vi har i Norge i dag, og sammenligne hvordan enkeltmennesker har mulighet til å påvirke i ulike styresett",beskrive sentrale hendingar som har ført fram til det demokratiet vi har i Noreg i dag og samanlikne korleis enkeltmenneske har høve til å påverke i ulike styresett,1.000,,
"Utforske korleis menneske i fortida livnærte seg, og samtale om korleis sentrale endringar i livsgrunnlag og teknologi har påverka og påverkar demografi, levekår og busetjingsmønster.",A,KM14685,http://psi.udir.no/kl06/KM14685,"utforske hvordan mennesker i fortiden livnærte seg, og samtale om hvordan sentrale endringer i livsgrunnlag og teknologi har påvirket og påvirker demografi, levekår og bosettingsmønstre","utforske korleis menneske i fortida livnærte seg, og samtale om korleis sentrale endringar i livsgrunnlag og teknologi har påverka og påverkar demografi, levekår og busetjingsmønster",1.000,,
"Samtale om hva fysisk og psykisk helse er, og drøfte hvordan livsstil og trivsel påvirker helse.",A,KM13832,http://psi.udir.no/kl06/KM13832,"samtale om hva fysisk og psykisk helse er, og drøfte hvordan livsstil og trivsel påvirker helse",samtale om kva fysisk og psykisk helse er og drøfte korleis livsstil og trivnad påverkar helse,1.000,,
