uri,kode,laereplan_kode,laereplan_versjon,laereplan_tittel_bokmaal,fag,aarstrinn,status,tekst_bokmaal,tekst_nynorsk,tekst_default,tekst_engelsk,har_nynorsk,samme_som,gjenbruk_av
http://psi.udir.no/kl06/KM294,KM294,MAT07,02,Læreplan i fordypning i matematikk,"Fordypning i matematikk 8. årstrinn | Fordypning i matematikk, 9. årstrinn | Fordypning i matematikk 10. årstrinn",Tiende årstrinn,status_publisert,"bruke teknologi som verktøy for kunnskapssøking, kommunikasjon, kreativitet og læring i matematikk",,"bruke teknologi som verktøy for kunnskapssøking, kommunikasjon, kreativitet og læring i matematikk",,nei,,
http://psi.udir.no/kl06/KM295,KM295,MAT07,02,Læreplan i fordypning i matematikk,"Fordypning i matematikk 8. årstrinn | Fordypning i matematikk, 9. årstrinn | Fordypning i matematikk 10. årstrinn",Tiende årstrinn,status_publisert,"utforske, planlegge og modellere situasjoner knyttet til temaer innenfor samfunn og arbeidsliv og presentere og argumentere for resultatene",,"utforske, planlegge og modellere situasjoner knyttet til temaer innenfor samfunn og arbeidsliv og presentere og argumentere for resultatene",,nei,,
http://psi.udir.no/kl06/KM296,KM296,MAT07,02,Læreplan i fordypning i matematikk,"Fordypning i matematikk 8. årstrinn | Fordypning i matematikk, 9. årstrinn | Fordypning i matematikk 10. årstrinn",Tiende årstrinn,status_publisert,"bruke, forklare og lage formler uttrykt med ord og symboler med utgangspunkt i en praktisk problemstilling",,"bruke, forklare og lage formler uttrykt med ord og symboler med utgangspunkt i en praktisk problemstilling",,nei,,
http://psi.udir.no/kl06/KM297,KM297,MAT07,02,Læreplan i fordypning i matematikk,"Fordypning i matematikk 8. årstrinn | Fordypning i matematikk, 9. årstrinn | Fordypning i matematikk 10. årstrinn",Tiende årstrinn,status_publisert,tolke og diskutere statistiske framstillinger knyttet til bærekraftig utvikling,,tolke og diskutere statistiske framstillinger knyttet til bærekraftig utvikling,,nei,,
http://psi.udir.no/kl06/KM298,KM298,MAT07,02,Læreplan i fordypning i matematikk,"Fordypning i matematikk 8. årstrinn | Fordypning i matematikk, 9. årstrinn | Fordypning i matematikk 10. årstrinn",Tiende årstrinn,status_publisert,"lage, utføre og presentere oppgaver knyttet til sannsynlighetsregning",,"lage, utføre og presentere oppgaver knyttet til sannsynlighetsregning",,nei,,
http://psi.udir.no/kl06/KM299,KM299,MAT07,02,Læreplan i fordypning i matematikk,"Fordypning i matematikk 8. årstrinn | Fordypning i matematikk, 9. årstrinn | Fordypning i matematikk 10. årstrinn",Tiende årstrinn,status_publisert,utforske og representere kombinatoriske problemer,,utforske og representere kombinatoriske problemer,,nei,,
http://psi.udir.no/kl06/KM300,KM300,MAT07,02,Læreplan i fordypning i matematikk,"Fordypning i matematikk 8. årstrinn | Fordypning i matematikk, 9. årstrinn | Fordypning i matematikk 10. årstrinn",Tiende årstrinn,status_publisert,"diskutere, planlegge, lage og vurdere spilldesign og egne spill",,"diskutere, planlegge, lage og vurdere spilldesign og egne spill",,nei,,
http://psi.udir.no/kl06/KM301,KM301,MAT07,02,Læreplan i fordypning i matematikk,"Fordypning i matematikk 8. årstrinn | Fordypning i matematikk, 9. årstrinn | Fordypning i matematikk 10. årstrinn",Tiende årstrinn,status_publisert,beregne og vurdere betingelser for og kostnader ved ulike typer kjøp fra inn- og utland,,beregne og vurdere betingelser for og kostnader ved ulike typer kjøp fra inn- og utland,,nei,,
http://psi.udir.no/kl06/KM187,KM187,ENG03,02,Læreplan i fordypning i engelsk,Engelsk fordypning 8. årstrinn | Engelsk fordypning 9. årstrinn | Engelsk fordypning 10. årstrinn,Tiende årstrinn,status_publisert,"bruke engelsk muntlig og skriftlig i digital samhandling tilpasset formål, mottaker og situasjon",,"bruke engelsk muntlig og skriftlig i digital samhandling tilpasset formål, mottaker og situasjon",,nei,,
http://psi.udir.no/kl06/KM188,KM188,ENG03,02,Læreplan i fordypning i engelsk,Engelsk fordypning 8. årstrinn | Engelsk fordypning 9. årstrinn | Engelsk fordypning 10. årstrinn,Tiende årstrinn,status_publisert,"skape ulike typer muntlige og skriftlige tekster om selvvalgte emner som presenterer, forteller eller forklarer gjennom ulike medier",,"skape ulike typer muntlige og skriftlige tekster om selvvalgte emner som presenterer, forteller eller forklarer gjennom ulike medier",,nei,,
http://psi.udir.no/kl06/KM189,KM189,ENG03,02,Læreplan i fordypning i engelsk,Engelsk fordypning 8. årstrinn | Engelsk fordypning 9. årstrinn | Engelsk fordypning 10. årstrinn,Tiende årstrinn,status_publisert,videreutvikle egne muntlige og skriftlige tekster på bakgrunn av tilbakemeldinger,,videreutvikle egne muntlige og skriftlige tekster på bakgrunn av tilbakemeldinger,,nei,,
