"Innleggsdato","Oppdatert","Tittel","Kommune","Epost kontaktperson","Type fordel","Published status","Beskrivelse"
"04/12/2017 - 14:20","20/10/2025 - 08:25","Aurora kino","Alta","","Kino","✔","


auroraalta.jpg

      



Kinobillett til 115 kr for TL samt 115kr for en venn eller voksen. 
Husk og ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","11/06/2025 - 14:50","Alta Bowlingsenter","Alta","altabowling@altabowling.no","Bowling","✔","


alta_bowling.jpg

      



Halv pris på bowling for Tl og en venn på hverdager.
Husk å ta med gyldig og utffylt Kulturkort.
"
"04/12/2017 - 14:20","02/07/2025 - 15:46","Sarves Alta alpinsenter","Alta","","Skitrekk","✔","


sarves_logo_midtstilt_svart.png

      



 
Halv pris på heiskort for Trivselsleder og en venn på samme skole (gjelder ikke søsken og foreldre), ved fremvisning av gyldig kulturkort.
OBS : TL må ha med en elev fra samme skole for at tilbudet skal gjelde.
Ring gjerne og hør om kapasitet på forhånd. Bilettluka må være åpen for at kulturkortet skal gjelde.
"
"04/12/2017 - 14:20","11/06/2025 - 14:54","Alta IF Fotball","Alta","fotball@altaif.no","Fotball","✔","


alta_il.jpg

      



Alta IL Fotball gir trivselsledere gratis inngang på hjemmekamper såfremt det er ledige plasser.
Husk å ta med gyldig og utfylt Kulturkort.
"
"04/12/2017 - 14:20","28/10/2025 - 09:55","Nordlysbadet","Alta","","Bading","✖","


nordlysbadet.jpg

      



 
Gratis inngang for TL alle dager med unntak av skoleferier.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","23/06/2025 - 08:26","Petter Dass-museet","Alstahaug","","Museum","✔","
 
Gratis inngang for TL og en voksen på ordinære utstillinger/omvisninger.
Rabatt eller gratis inngang på arrangementer gjennom hele året, også Barnas Museum.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","18/01/2022 - 11:58","Solvoll 4H Gård og Hestesenter","Alstahaug","solvoll4h@gmail.com","Besøksgård","✔","


solvoll4hgard.jpg

      



Én gratis ridetime for TL etter avtale på tlf. 45463620.
"
"04/12/2017 - 14:20","10/06/2025 - 10:56","Polar Park","Bardu","post@polarpark.no","Dyrepark","✔","


polarpark.png

      



Halv pris på inngang for TL, ved fremvisning av gyldig kulturkort.
"
"04/12/2017 - 14:20","26/10/2023 - 11:44","Vestvatn alpinanlegg","Bodø","post@vestvatn.no","Skitrekk","✔","


vestvangenskianlegg.png

      



120 kroner for dagskort til TL. 1500 kroner for sesongkort.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","18/10/2023 - 15:03","Bodø Glimt","Bodø","bg@glimt.no","Fotball","✔","


bodo_glimt.png

      



 
Gratis inngang for TL, såfremt det er ledige plasser på kampdag.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","18/10/2023 - 15:24","Nordlandsmuseet","Bodø","post@nordlandsmuseet.no","Museum","✔","


nordlandsmuseet.png

      



 
Gratis inngang for TL på alle museene.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","15/12/2025 - 14:17","Norsk Luftfartsmuseum","Bodø","post@luftfartsmuseum.no","Museum","✔","


norskluftfartsmuseum.png

      



 
Gratis inngang for TL. 
Husk å ta med gyldig kulturkort.
"
